hour,bus_id,pv_profile_ratio,wind_profile_ratio,hydro_profile_ratio
23,52,0.07487358802075073,0.13843046979514748,0.04472667
24,52,0.07481006457613418,0.11819018672281488,0.04583103
1,53,0.02452441526975125,0.5885525528298904,0.04638321
2,53,0.024161277275659507,0.03028441834884903,0.04638321
3,53,0.027500413532247688,0.482032222995324,0.04638321
4,53,0.018004390830820255,0.06102636819084835,0.04638321
5,53,0.014129285069767161,0.0,0.04583103
6,53,0.019904019199091714,0.04311645387508286,0.04417449
7,53,0.0,0.0,0.04251795
8,53,0.024935827723118278,0.0,0.05190502
9,53,0.18645075570108455,0.0,0.2661513
10,53,0.354674818918213,0.0,0.2954169
11,53,0.4449771104932196,0.0,0.30922142
12,53,0.4049125205250294,0.0,0.31087797
13,53,0.34404158206728974,0.0,0.16620652
14,53,0.3485238245631697,0.0,0.13473219
15,53,0.2477104695002403,0.0,0.15129763
16,53,0.15040963957971704,0.0,0.28492546
17,53,0.07215378190271562,0.0297709285940549,0.29486472
18,53,0.02632269098333835,0.0,0.25842076
19,53,0.0,0.019051579553229444,0.1286582
20,53,0.023817561731506183,0.0,0.11374931
21,53,0.023760972265595932,0.0,0.07730536
22,53,0.02476065047600456,0.0,0.04803976
23,53,0.023826221657145426,0.0,0.04472667
24,53,0.023102702909749667,0.0,0.04583103
1,54,0.024113171820949568,0.0,0.04638321
2,54,0.01591606353548304,0.0,0.04638321
3,54,0.022532476692952004,0.017879153084981895,0.04638321
4,54,0.024646928014280197,0.10776359176328641,0.04638321
5,54,0.025815800516345893,0.26142504194293736,0.04583103
6,54,0.028277604976668518,0.036027178789184156,0.04417449
7,54,0.0,0.06250812987568022,0.04251795
8,54,0.0316029702503132,0.1067439632276113,0.05190502
9,54,0.2095978738674186,0.0,0.2661513
10,54,0.3902772507856519,0.15992320802661592,0.2954169
11,54,0.49197103547414084,0.0,0.30922142
12,54,0.45738145901479255,0.15890898553057792,0.31087797
13,54,0.38921531255445757,0.06851654873369774,0.16620652
14,54,0.3762562909924777,0.09887756714841321,0.13473219
15,54,0.28720122026934963,0.08315748196774965,0.15129763
16,54,0.1624690193959806,0.2614761449089134,0.28492546
17,54,0.07348290050133871,0.0,0.29486472
18,54,0.024620907349811844,0.0869294580128461,0.25842076
19,54,0.0,0.10687604261488953,0.1286582
20,54,0.024284049951836285,0.1854452104620767,0.11374931
21,54,0.024518520904843574,0.17527681617699,0.07730536
22,54,0.02507992442820112,0.3858230607131565,0.04803976
23,54,0.024589496906388966,0.1439859797223905,0.04472667
24,54,0.024101229965616245,0.172595631183525,0.04583103
1,55,0.019063731423288707,0.10733160408298605,0.04638321
2,55,0.025378594986823738,0.21364918273865455,0.04638321
3,55,0.023686514080659624,0.2741321636444414,0.04638321
4,55,0.025244328918897392,0.19417262986966846,0.04638321
5,55,0.014660376512084778,0.15852044039442148,0.04583103
6,55,0.02625099080313586,0.26443940012774525,0.04417449
7,55,0.0,0.0,0.04251795
8,55,0.02784725537804981,0.08964426018269933,0.05190502
9,55,0.19539384792120995,0.0,0.2661513
10,55,0.37020034724720546,0.017692532192771736,0.2954169
11,55,0.47039184947035056,0.014717809822443783,0.30922142
12,55,0.43208766808253857,0.16854758865324995,0.31087797
13,55,0.347062860089654,0.08644941304866623,0.16620652
14,55,0.32958061449245835,0.07863920878848975,0.13473219
15,55,0.2590998580359386,0.07729202905731829,0.15129763
16,55,0.14785650101672304,0.11118838355712135,0.28492546
17,55,0.06382543389113488,0.06960392605983869,0.29486472
18,55,0.024029209769153303,0.16782461770845528,0.25842076
19,55,0.0,0.0,0.1286582
20,55,0.024425371527431752,0.04037209041009265,0.11374931
21,55,0.02444141112912507,0.0351378476603899,0.07730536
22,55,0.02476866540514653,0.0922476062993461,0.04803976
23,55,0.024071122485713255,0.15337518471481992,0.04472667
24,55,0.02388763904112668,0.1108994791564286,0.04583103
1,56,0.02737918567715948,0.5854998893832352,0.04638321
2,56,0.017068171557675274,0.661230635752097,0.04638321
3,56,0.022540884216756714,0.5619306019357257,0.04638321
4,56,0.028479860796314326,0.5811885764935127,0.04638321
5,56,0.021612145647815557,0.6796788501289182,0.04583103
6,56,0.027599933185415072,0.6772579198676839,0.04417449
7,56,0.0,0.5726208014358056,0.04251795
8,56,0.03559318133479847,0.7899376232423253,0.05190502
9,56,0.2202606016368489,0.6368821602597919,0.2661513
10,56,0.4127484863886892,0.5399661751111403,0.2954169
11,56,0.5370825413878907,0.3868964960629117,0.30922142
12,56,0.5360467293523012,0.10020556490912164,0.31087797
13,56,0.405653375636478,0.0,0.16620652
14,56,0.3483857980716357,0.0,0.13473219
15,56,0.25911556769905414,0.05089492211390212,0.15129763
16,56,0.1417306512567796,0.0,0.28492546
17,56,0.05865685224173115,0.10017242199040402,0.29486472
18,56,0.01827612290507239,0.09214836891800884,0.25842076
19,56,,0.06325234564093994,0.1286582
20,56,0.022985363421723633,0.2958765437582412,0.11374931
21,56,0.023496508361620996,0.371264076142289,0.07730536
22,56,0.02405037186593811,0.5017705040272646,0.04803976
23,56,0.023682287464938098,0.5552940805998676,0.04472667
24,56,0.023049288928062645,0.4873172609383264,0.04583103
1,57,0.02134430882369259,0.15929114556434282,0.04638321
2,57,0.0205690071748349,0.35104157951808246,0.04638321
3,57,0.022493523504971052,0.43346286803151096,0.04638321
4,57,0.022261139119118416,0.21722096671842975,0.04638321
5,57,0.025696223659639444,0.9439136850879675,0.04583103
6,57,0.03079804700192967,0.586893062230387,0.04417449
7,57,0.0,0.08240073503973208,0.04251795
8,57,0.029247015077703185,0.07690465548433843,0.05190502
9,57,0.19965005829725083,0.4874857017446967,0.2661513
10,57,0.3813658909682821,0.2839903587177894,0.2954169
11,57,0.49754204172939154,0.25986111884477125,0.30922142
12,57,0.47915866565762705,0.2305249901159104,0.31087797
13,57,0.40974062018471463,0.14712529909467173,0.16620652
14,57,0.40233161252656846,0.03195797961168901,0.13473219
15,57,0.3058382898999751,0.10053060048181975,0.15129763
16,57,0.17775253298491236,0.0,0.28492546
17,57,0.08749384595899318,0.10619703926094903,0.29486472
18,57,0.02263761149122177,0.13651820873918266,0.25842076
19,57,0.0,0.3185251035719758,0.1286582
20,57,0.023810856517284675,0.32084770800954704,0.11374931
21,57,0.02496821159095833,0.19199071790389804,0.07730536
22,57,0.025597456436941887,0.38171137623921525,0.04803976
23,57,0.024710833064170434,0.30853773771530646,0.04472667
24,57,0.024577654768135778,0.35303393033741093,0.04583103
1,58,0.07618627374109639,0.4497292995988726,0.04638321
2,58,0.07613979611292825,0.5097043247526993,0.04638321
3,58,0.07626601223981967,0.2982858405978091,0.04638321
4,58,0.07658465767613458,0.30832531673412367,0.04638321
5,58,0.07641566680790275,0.4148037560785852,0.04583103
6,58,0.07647484968348763,0.39561821717858675,0.04417449
7,58,0.0,0.03991769741298593,0.04251795
8,58,0.03244260486057457,0.41250896858828767,0.05190502
9,58,0.20889784488732838,0.1126843870632372,0.2661513
10,58,0.3930780370153493,0.05475673717188981,0.2954169
11,58,0.5180957273533676,0.04594460079112325,0.30922142
12,58,0.5099909551371824,0.08077617427091954,0.31087797
13,58,0.3196538988211613,0.13290393102102271,0.16620652
14,58,0.3101029447766486,0.02994382466360284,0.13473219
15,58,0.21702883210037455,0.04268696805382096,0.15129763
16,58,0.11518401268991058,0.010939180615757106,0.28492546
17,58,0.04774562185387235,0.014086751968027724,0.29486472
18,58,0.017538987709453405,0.023497069755350285,0.25842076
19,58,,0.08140522166553966,0.1286582
20,58,0.07524270304126549,0.0929217552565976,0.11374931
21,58,0.07524718797849299,0.22651904759563882,0.07730536
22,58,0.07528326781866668,0.2943878164766552,0.04803976
23,58,0.07525717680934568,0.2786272164608784,0.04472667
24,58,0.07528632514455719,0.22811400442800434,0.04583103
1,59,0.020194561828836662,0.0726541223856394,0.04638321
2,59,0.02347637068215349,0.46163230825250834,0.04638321
3,59,0.020781047673033546,0.0,0.04638321
4,59,0.02276724101754435,0.044187374595781266,0.04638321
5,59,0.025080847710275866,0.30879180871150524,0.04583103
6,59,0.02383356275391343,0.12268656798090548,0.04417449
7,59,0.0,0.0,0.04251795
8,59,0.027769760400433368,0.11464187734176222,0.05190502
9,59,0.2019576538513217,0.0,0.2661513
10,59,0.3718321705888057,0.0,0.2954169
11,59,0.4571566525063114,0.0,0.30922142
12,59,0.3846415923098818,0.0969820477338267,0.31087797
13,59,0.32487539831937196,0.026974904864730406,0.16620652
14,59,0.2974815282393068,0.0,0.13473219
15,59,0.20099464193890512,0.0,0.15129763
16,59,0.14358062952491862,0.0,0.28492546
17,59,0.07182255002312177,0.0,0.29486472
18,59,0.027090578661218626,0.0,0.25842076
19,59,0.0,0.0,0.1286582
20,59,0.022739543220452147,0.0456973714079505,0.11374931
21,59,0.022866996400954433,0.2544219916638312,0.07730536
